TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FI;00.840.008/0001-66;ITAÚ MULTIMERCADO MULTIMANAGER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2021-06-30;84605812.78
FI;00.840.011/0001-80;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2021-06-30;2361297769.29
FI;00.842.960/0001-07;BB BESC RENDA FIXA PREMIUM FUNDO DE INVESTIMENTO;2021-06-30;49682307.28
FI;00.846.898/0001-13;CHEMICAL FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-06-30;29513556.66
FI;00.849.567/0001-37;SANTANDER PB HS MULTIMERCADO CRÉDITO PRIVADO FIC FI;2021-06-30;110829995.69
FI;00.852.311/0001-89;BB TOP DI RENDA FIXA REFERENCIADO DI LP FUNDO DE INVESTIMENTO;2021-06-30;24136597575.04
FI;00.856.171/0001-17;SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO;2021-06-30;152895219.10
FI;00.856.751/0001-04;NÚCLEOS V SUL AMÉRICA ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO;2021-06-30;367924634.29
FI;00.856.755/0001-92;SANTANDER RENDA FIXA REFERENCIADO DI MAIS FIC FI;2021-06-30;2002350073.10
FI;00.857.361/0001-59;BANPARA TRADICIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-06-30;11240962.65
FI;00.885.758/0001-54;SANTANDER PB JATOBÁ RENDA FIXA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2021-06-30;33616325.20
FI;00.885.760/0001-23;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO 50;2021-06-30;124850051.10
FI;00.885.762/0001-12;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO TÍTULOS PÚBLICOS;2021-06-30;679568959.24
FI;00.888.897/0001-31;BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;2021-06-30;29423067.25
FI;00.893.531/0001-50;FAPA SENIOR FUNDO DE INVESTIMENTO MULTIMERCADO;2021-06-30;134514210.30
